"","geneID","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","seed_ortholog","evalue","score","eggNOG_OGs","max_annot_lvl","COG_category","Description","Preferred_name","GOs","EC","KEGG_ko","KEGG_Pathway","KEGG_Module","KEGG_Reaction","KEGG_rclass","BRITE","KEGG_TC","CAZy","BiGG_Reaction","PFAMs"
"403","g10391.t1",7357.34346378769,-6.64944867130675,1.43894299811753,-4.62106468428962,3.81775708878395e-06,0.000458354784006019,"34740.HMEL017148-PA",4.21e-208,589,"COG2124@1|root,KOG0157@2759|Eukaryota,38CHP@33154|Opisthokonta,3B9GY@33208|Metazoa,3CSG8@33213|Bilateria,41U3I@6656|Arthropoda,3ST9I@50557|Insecta,441H8@7088|Lepidoptera","33208|Metazoa","Q","Cytochrome P450","-","-","-","ko:K07427,ko:K15001,ko:K15007","-","-","-","-","ko00000,ko00199,ko01000","-","-","-","p450"
"504","g10474.t1",316.59365443359,-2.92591689938106,0.707598571759994,-4.13499548494494,3.54961614130832e-05,0.00267996018668778,"13037.EHJ74402",0,899,"KOG2816@1|root,KOG2816@2759|Eukaryota,39VY0@33154|Opisthokonta,3BMCN@33208|Metazoa,3D0H7@33213|Bilateria,41YD6@6656|Arthropoda,3SGUN@50557|Insecta,444MW@7088|Lepidoptera","33208|Metazoa","S","Major Facilitator Superfamily","-","-","-","ko:K20840","-","-","-","-","ko00000,ko02000","2.A.1.50.3","-","-","-"
"514","g10484.t1",2540.2181017868,3.00295392064492,0.868987676913312,3.45569218117288,0.000548881752415327,0.0197459780273301,"13037.EHJ68098",1.83e-263,735,"KOG2816@1|root,KOG2816@2759|Eukaryota,39VY0@33154|Opisthokonta,3BMCN@33208|Metazoa,3D0H7@33213|Bilateria,41YD6@6656|Arthropoda,3SGUN@50557|Insecta,4488P@7088|Lepidoptera","33208|Metazoa","S","Major Facilitator Superfamily","-","-","-","ko:K20840","-","-","-","-","ko00000,ko02000","2.A.1.50.3","-","-","-"
"535","g10501.t1",1397.64710619686,2.92912975381457,0.709354693988887,4.12928789875669,3.63888517410573e-05,0.00271167832844398,"7091.BGIBMGA010944-TA",2.77e-136,405,"2DJWY@1|root,2S61H@2759|Eukaryota,3A5YU@33154|Opisthokonta,3BTRR@33208|Metazoa,3D98S@33213|Bilateria,429QN@6656|Arthropoda,3T17U@50557|Insecta,44A05@7088|Lepidoptera","33208|Metazoa","S","Mab-21","-","-","-","-","-","-","-","-","-","-","-","-","Mab-21"
"540","g10508.t1",25.3965596128653,-22.7656371608235,3.22770651872123,-7.05319304242161,1.74857994795128e-12,1.18039432251111e-09,"13037.EHJ69027",9.49e-125,362,"KOG3071@1|root,KOG3071@2759|Eukaryota,38BJ3@33154|Opisthokonta,3BJY8@33208|Metazoa,3D62I@33213|Bilateria,41WT7@6656|Arthropoda,3SFW6@50557|Insecta","33208|Metazoa","I","Elongation of very long chain fatty acids protein","-","GO:0000003,GO:0000038,GO:0000212,GO:0000226,GO:0000280,GO:0000910,GO:0000912,GO:0000915,GO:0003674,GO:0003824,GO:0004312,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005783,GO:0005789,GO:0006082,GO:0006629,GO:0006631,GO:0006633,GO:0006643,GO:0006665,GO:0006807,GO:0006996,GO:0007010,GO:0007017,GO:0007049,GO:0007051,GO:0007110,GO:0007111,GO:0007112,GO:0007140,GO:0007276,GO:0008150,GO:0008152,GO:0008610,GO:0009058,GO:0009922,GO:0009987,GO:0010817,GO:0012505,GO:0016020,GO:0016021,GO:0016043,GO:0016053,GO:0016740,GO:0016746,GO:0016747,GO:0019367,GO:0019368,GO:0019748,GO:0019752,GO:0019953,GO:0022402,GO:0022412,GO:0022414,GO:0022607,GO:0030029,GO:0030036,GO:0030148,GO:0030176,GO:0030497,GO:0030865,GO:0030866,GO:0031032,GO:0031224,GO:0031227,GO:0031984,GO:0032501,GO:0032504,GO:0032506,GO:0032787,GO:0033206,GO:0034625,GO:0034626,GO:0042175,GO:0042445,GO:0042446,GO:0042761,GO:0042810,GO:0042811,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043436,GO:0044085,GO:0044237,GO:0044238,GO:0044249,GO:0044255,GO:0044281,GO:0044283,GO:0044422,GO:0044424,GO:0044425,GO:0044432,GO:0044444,GO:0044446,GO:0044464,GO:0044550,GO:0044703,GO:0044837,GO:0046394,GO:0046467,GO:0048232,GO:0048285,GO:0048609,GO:0051225,GO:0051301,GO:0051321,GO:0051704,GO:0061640,GO:0061982,GO:0061983,GO:0065007,GO:0065008,GO:0070925,GO:0071704,GO:0071840,GO:0072330,GO:0098827,GO:0140013,GO:1901564,GO:1901566,GO:1901576,GO:1903046","-","-","-","-","-","-","-","-","-","-","-"
"541","g10509.t1",804.926905627226,-3.23287154582419,0.712162617482105,-4.53951312026768,5.6384272063088e-06,0.000640659313065344,"34740.HMEL009764-PA",2.78e-183,514,"KOG3071@1|root,KOG3071@2759|Eukaryota,39TCS@33154|Opisthokonta,3BEFM@33208|Metazoa,3D5A5@33213|Bilateria,41UQJ@6656|Arthropoda,3SIAK@50557|Insecta,445A7@7088|Lepidoptera","33208|Metazoa","I","GNS1/SUR4 family","-","-","-","-","-","-","-","-","-","-","-","-","-"
"550","g10519.t1",2154.6630917256,2.8990506117812,0.897353400788806,3.23066766029173,0.00123501448176456,0.0333268308006887,"34740.HMEL017506-PA",5.68e-180,504,"KOG3071@1|root,KOG3071@2759|Eukaryota,39WW7@33154|Opisthokonta,3BN3Y@33208|Metazoa,3D53F@33213|Bilateria,41WV7@6656|Arthropoda,3SKSU@50557|Insecta,443HT@7088|Lepidoptera","33208|Metazoa","I","GNS1/SUR4 family","-","GO:0000038,GO:0003674,GO:0003824,GO:0004312,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005783,GO:0005789,GO:0006082,GO:0006629,GO:0006631,GO:0006633,GO:0006643,GO:0006665,GO:0006807,GO:0008150,GO:0008152,GO:0008610,GO:0009058,GO:0009922,GO:0009987,GO:0012505,GO:0016020,GO:0016021,GO:0016053,GO:0016740,GO:0016746,GO:0016747,GO:0019367,GO:0019368,GO:0019752,GO:0030148,GO:0030176,GO:0030497,GO:0031224,GO:0031227,GO:0031984,GO:0032787,GO:0034625,GO:0034626,GO:0042175,GO:0042761,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043436,GO:0044237,GO:0044238,GO:0044249,GO:0044255,GO:0044281,GO:0044283,GO:0044422,GO:0044424,GO:0044425,GO:0044432,GO:0044444,GO:0044446,GO:0044464,GO:0046394,GO:0046467,GO:0071704,GO:0072330,GO:0098827,GO:1901564,GO:1901566,GO:1901576","-","-","-","-","-","-","-","-","-","-","ELO"
"558","g10526.t1",3478.17181095278,-4.3678470574892,0.986551580325836,-4.42738843522667,9.53808774225843e-06,0.00096866455690405,"13037.EHJ76586",5.14e-55,184,"2FHNU@1|root,2TJ2F@2759|Eukaryota,391Q7@33154|Opisthokonta,3C77X@33208|Metazoa,3DN7W@33213|Bilateria,424N6@6656|Arthropoda,3STX6@50557|Insecta,44A7U@7088|Lepidoptera","33208|Metazoa","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"605","g10589.t1",9270.61596433672,-1.97999673656806,0.443946430664087,-4.45999021459917,8.19633950905548e-06,0.000870936964869636,"13037.EHJ70794",0,2187,"COG3408@1|root,KOG3625@2759|Eukaryota,38BRH@33154|Opisthokonta,3BBWF@33208|Metazoa,3D09A@33213|Bilateria,41X2Y@6656|Arthropoda,3SGHX@50557|Insecta,445H4@7088|Lepidoptera","33208|Metazoa","G","Central domain of human glycogen debranching enzyme","-","GO:0000272,GO:0003674,GO:0003824,GO:0004133,GO:0004134,GO:0004135,GO:0004553,GO:0005975,GO:0005976,GO:0005977,GO:0005980,GO:0006073,GO:0006091,GO:0006112,GO:0008150,GO:0008152,GO:0009056,GO:0009057,GO:0009251,GO:0009987,GO:0015926,GO:0015980,GO:0016052,GO:0016740,GO:0016757,GO:0016758,GO:0016787,GO:0016798,GO:0043170,GO:0044042,GO:0044237,GO:0044238,GO:0044247,GO:0044248,GO:0044260,GO:0044262,GO:0044264,GO:0044275,GO:0055114,GO:0071704,GO:0090599,GO:1901575","2.4.1.25,3.2.1.33","ko:K01196","ko00500,ko01100,ko01110,map00500,map01100,map01110","-","R02109,R02111","RC00049","ko00000,ko00001,ko01000","-","GH13","-","hDGE_amylase,hGDE_N,hGDE_central"
"630","g10613.t1",2164.70613781816,-1.85265664078388,0.473444964580134,-3.913140447965,9.11035107960057e-05,0.00555660255746732,"7091.BGIBMGA010306-TA",2.75e-138,409,"COG5640@1|root,KOG3627@2759|Eukaryota,3A0KD@33154|Opisthokonta,3BPQ8@33208|Metazoa,3D6YX@33213|Bilateria,41YTA@6656|Arthropoda,3SKWZ@50557|Insecta","33208|Metazoa","O","serine-type endopeptidase activity. It is involved in the biological process described with proteolysis","-","GO:0003674,GO:0003824,GO:0004175,GO:0004252,GO:0006508,GO:0006807,GO:0006950,GO:0008150,GO:0008152,GO:0008233,GO:0008236,GO:0009987,GO:0016787,GO:0017171,GO:0019538,GO:0033554,GO:0034976,GO:0043170,GO:0044238,GO:0050896,GO:0051716,GO:0070011,GO:0071704,GO:0140096,GO:1901564","-","-","-","-","-","-","-","-","-","-","Trypsin"
"660","g10638.t1",962.914334494367,-1.88116556950733,0.473161146137299,-3.97573973447402,7.01608245638189e-05,0.00462881929066767,"7091.BGIBMGA009599-TA",0,1552,"KOG4338@1|root,KOG4338@2759|Eukaryota,39YU2@33154|Opisthokonta,3BCQW@33208|Metazoa,3CXT5@33213|Bilateria,41V2T@6656|Arthropoda,3SK6Q@50557|Insecta,4457K@7088|Lepidoptera","33208|Metazoa","I","Lipid transporter activity. It is involved in the biological process described with lipid transport","-","GO:0002009,GO:0002165,GO:0003002,GO:0003674,GO:0005488,GO:0005515,GO:0005575,GO:0005576,GO:0005615,GO:0006355,GO:0006357,GO:0007275,GO:0007389,GO:0007444,GO:0007472,GO:0007474,GO:0007476,GO:0007552,GO:0007560,GO:0008150,GO:0009653,GO:0009791,GO:0009886,GO:0009887,GO:0009888,GO:0009889,GO:0009966,GO:0009967,GO:0010468,GO:0010556,GO:0010646,GO:0010647,GO:0019219,GO:0019222,GO:0019955,GO:0023051,GO:0023056,GO:0030510,GO:0030513,GO:0031323,GO:0031326,GO:0032501,GO:0032502,GO:0035107,GO:0035114,GO:0035120,GO:0035220,GO:0035239,GO:0035295,GO:0036122,GO:0043167,GO:0043168,GO:0043394,GO:0043395,GO:0044421,GO:0048513,GO:0048518,GO:0048522,GO:0048563,GO:0048569,GO:0048583,GO:0048584,GO:0048707,GO:0048729,GO:0048731,GO:0048736,GO:0048737,GO:0048856,GO:0050789,GO:0050794,GO:0051171,GO:0051252,GO:0060255,GO:0060429,GO:0060562,GO:0065007,GO:0080090,GO:0090092,GO:0090100,GO:0090287,GO:0097367,GO:1901681,GO:1903506,GO:2000112,GO:2001141","-","-","-","-","-","-","-","-","-","-","Vitellogenin_N"
"696","g10672.t1",1080.80382081192,-4.5386187112616,1.17852539176254,-3.85109963941794,0.000117588641329111,0.00636531720704187,"7091.BGIBMGA009556-TA",2.07e-186,525,"COG1398@1|root,KOG1600@2759|Eukaryota,38GU7@33154|Opisthokonta,3BENV@33208|Metazoa,3CTC4@33213|Bilateria,41YA9@6656|Arthropoda,3SG9B@50557|Insecta,442C0@7088|Lepidoptera","33208|Metazoa","I","Oxidoreductase activity, acting on paired donors, with oxidation of a pair of donors resulting in the reduction of molecular oxygen to two molecules of water. It is involved in the biological process described with oxidation-reduction process","-","-","1.14.19.1","ko:K00507","ko01040,ko01212,ko03320,ko04152,ko04212,map01040,map01212,map03320,map04152,map04212","-","R02222","RC00917","ko00000,ko00001,ko01000,ko01004","-","-","-","FA_desaturase"
"841","g10817.t1",3313.63908662809,-2.93654027495728,0.890565605028487,-3.2973879278252,0.000975886119678861,0.0284968679629379,"7091.BGIBMGA006989-TA",0,2417,"COG3325@1|root,KOG2806@2759|Eukaryota,39XUA@33154|Opisthokonta,3BKEE@33208|Metazoa,3D351@33213|Bilateria,41U7P@6656|Arthropoda,3SG6F@50557|Insecta,444W6@7088|Lepidoptera","33208|Metazoa","G","Chitin-binding domain type 2","-","-","-","-","-","-","-","-","-","-","-","-","-"
"849","g10825.t1",615.90342701852,1.60375733210465,0.469698706215706,3.41443847062277,0.000639136276430919,0.0214465728313486,"7091.BGIBMGA007125-TA",0,956,"COG0277@1|root,KOG1233@2759|Eukaryota,38DGT@33154|Opisthokonta,3BDRD@33208|Metazoa,3CUN9@33213|Bilateria,41XBX@6656|Arthropoda,3SKFY@50557|Insecta,448I2@7088|Lepidoptera","33208|Metazoa","C","Catalyzes the exchange of an acyl for a long-chain alkyl group and the formation of the ether bond in the biosynthesis of ether phospholipids","-","GO:0000166,GO:0003674,GO:0003824,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005777,GO:0006629,GO:0006662,GO:0008150,GO:0008152,GO:0008609,GO:0008610,GO:0008611,GO:0009058,GO:0009987,GO:0016740,GO:0016765,GO:0018904,GO:0036094,GO:0042579,GO:0043167,GO:0043168,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044237,GO:0044238,GO:0044249,GO:0044255,GO:0044281,GO:0044424,GO:0044444,GO:0044464,GO:0046485,GO:0046504,GO:0048037,GO:0050660,GO:0050662,GO:0071704,GO:0071949,GO:0097159,GO:0097384,GO:1901265,GO:1901363,GO:1901503,GO:1901576","2.5.1.26","ko:K00803","ko00565,ko01100,ko04146,map00565,map01100,map04146","-","R04311","RC00020,RC02886","ko00000,ko00001,ko01000","-","-","-","FAD-oxidase_C,FAD_binding_4"
"873","g10851.t1",44056.0564558045,-1.20910128057717,0.305397875013057,-3.95910181275975,7.52321624724363e-05,0.00483505668432391,"7091.BGIBMGA006976-TA",2.57e-200,588,"KOG4361@1|root,KOG4361@2759|Eukaryota,3A44S@33154|Opisthokonta,3BRH2@33208|Metazoa,3D8H7@33213|Bilateria,41ZX3@6656|Arthropoda,3SMR7@50557|Insecta,445WF@7088|Lepidoptera","33208|Metazoa","T","BAG domain","-","GO:0003674,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0008150,GO:0009889,GO:0009891,GO:0009893,GO:0010556,GO:0010557,GO:0010604,GO:0019222,GO:0030016,GO:0030017,GO:0030018,GO:0030544,GO:0031072,GO:0031323,GO:0031325,GO:0031326,GO:0031328,GO:0031399,GO:0031401,GO:0031674,GO:0032268,GO:0032270,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0043292,GO:0044422,GO:0044424,GO:0044444,GO:0044449,GO:0044464,GO:0048518,GO:0048522,GO:0050746,GO:0050747,GO:0050789,GO:0050794,GO:0051171,GO:0051173,GO:0051246,GO:0051247,GO:0060255,GO:0065007,GO:0080090,GO:0099080,GO:0099081,GO:0099512,GO:1903059,GO:1903061,GO:2000112","-","-","-","-","-","-","-","-","-","-","BAG"
"886","g10867.t1",490.326922785749,-6.09098671701832,1.59269013158783,-3.82433883165078,0.000131123486283269,0.0068711101761954,"13037.EHJ76031",0,1773,"2CMWN@1|root,2QSEK@2759|Eukaryota,39YGT@33154|Opisthokonta,3BJ88@33208|Metazoa,3D61J@33213|Bilateria,41TFJ@6656|Arthropoda,3SG8X@50557|Insecta,441D3@7088|Lepidoptera","33208|Metazoa","S","Domain first found in C1r, C1s, uEGF, and bone morphogenetic protein.","-","-","-","-","-","-","-","-","-","-","-","-","CUB"
"1013","g11006.t1",4413.30274062325,-2.11337931814073,0.500507738112973,-4.22247081755149,2.41638692916934e-05,0.00200945336225705,"7091.BGIBMGA002527-TA",0,1169,"KOG3690@1|root,KOG3690@2759|Eukaryota,38BGP@33154|Opisthokonta,3BB1P@33208|Metazoa,3CWJF@33213|Bilateria,41UIE@6656|Arthropoda,3SG79@50557|Insecta,448G0@7088|Lepidoptera","33208|Metazoa","O","Angiotensin-converting enzyme","-","GO:0000003,GO:0002027,GO:0003006,GO:0003007,GO:0003674,GO:0003824,GO:0004175,GO:0004222,GO:0005488,GO:0005575,GO:0005576,GO:0005615,GO:0006508,GO:0006807,GO:0006996,GO:0006997,GO:0007275,GO:0007276,GO:0007281,GO:0007283,GO:0007286,GO:0007289,GO:0007291,GO:0007349,GO:0007507,GO:0007552,GO:0008016,GO:0008150,GO:0008152,GO:0008233,GO:0008237,GO:0008238,GO:0008241,GO:0008270,GO:0009605,GO:0009607,GO:0009608,GO:0009609,GO:0009617,GO:0009653,GO:0009887,GO:0009987,GO:0016043,GO:0016787,GO:0019538,GO:0019953,GO:0022412,GO:0022414,GO:0030154,GO:0030431,GO:0032501,GO:0032502,GO:0032504,GO:0042749,GO:0042752,GO:0042753,GO:0043167,GO:0043169,GO:0043170,GO:0043207,GO:0044057,GO:0044238,GO:0044421,GO:0044703,GO:0045187,GO:0045938,GO:0046872,GO:0046914,GO:0048232,GO:0048468,GO:0048513,GO:0048515,GO:0048518,GO:0048520,GO:0048609,GO:0048646,GO:0048731,GO:0048856,GO:0048869,GO:0050789,GO:0050795,GO:0050896,GO:0051239,GO:0051240,GO:0051704,GO:0051707,GO:0065007,GO:0065008,GO:0070011,GO:0071704,GO:0071840,GO:0072359,GO:0140096,GO:1901564,GO:1903522","3.4.15.1","ko:K01283","ko04614,ko04924,ko05142,ko05410,map04614,map04924,map05142,map05410","-","-","-","ko00000,ko00001,ko01000,ko01002,ko04090,ko04147","-","-","-","Peptidase_M2"
"1017","g1101.t1",4.57872855266633,5.58601602092939,1.44899286954289,3.85510249107823,0.00011568115506514,0.00632169969298831,"13037.EHJ71270",4.97e-53,173,"2F652@1|root,2T76W@2759|Eukaryota,391DU@33154|Opisthokonta,3C714@33208|Metazoa,3DN12@33213|Bilateria,424GF@6656|Arthropoda,3STR4@50557|Insecta,449MX@7088|Lepidoptera","33208|Metazoa","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1018","g11011.t1",1760.13281024138,-6.86493272735154,1.44565579753518,-4.74866336721104,2.04765446214967e-06,0.000286571739117434,"13037.EHJ73970",8.57e-41,155,"KOG1721@1|root,KOG1721@2759|Eukaryota,38BZY@33154|Opisthokonta,3CPFG@33208|Metazoa,3D6TS@33213|Bilateria,42ANB@6656|Arthropoda,3T063@50557|Insecta,443PP@7088|Lepidoptera","33208|Metazoa","S","Zinc finger protein 512B","-","-","-","-","-","-","-","-","-","-","-","-","-"
